gia_ban,loai_hinh,dien_tich_dat,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,dac_diem,chieu_ngang,duong_lon,vi_tri_dat,garage,san_vuon,hai_mat_tien,view,vi_tri_trung_tam,truong_hoc,san_bay,benh_vien,sieu_thi,giao_thong,giai_tri,dia_diem_dac_biet,phuong,gia_m2_tham_khao
3850000000.0,"Nhà ngõ, hẻm",36.0,Đã có sổ,2.0,2.0,2.0,Nội thất đầy đủ,Nhà nở hậu,4.5,True,False,False,False,False,False,True,True,True,True,False,False,False,False,Phường Gia Định,140.91
9790000000.0,"Nhà ngõ, hẻm",62.0,Chưa xác định,4.0,3.0,3.0,Không rõ,Thông thường,4.2,False,False,False,False,False,False,True,False,True,False,False,False,False,False,Phường Bình Lợi Trung,140.0
7200000000.0,"Nhà ngõ, hẻm",54.0,Đã có sổ,3.0,2.0,2.0,Hoàn thiện cơ bản,Hẻm xe hơi,7.0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,Phường Bình Lợi Trung,151.05
8500000000.0,"Nhà ngõ, hẻm",83.0,Đã có sổ,3.0,3.0,2.0,Không rõ,Thông thường,7.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Phường Thạnh Mỹ Tây,150.91
2850000000.0,"Nhà ngõ, hẻm",18.0,Đã có sổ,2.0,1.0,2.0,Không rõ,Hiện trạng khác,3.0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,Phường Bình Thạnh,171.74
13000000000.0,"Nhà ngõ, hẻm",120.0,Đã có sổ,5.0,3.0,2.0,Không rõ,Thông thường,5.6,False,False,False,False,False,False,False,True,False,False,True,False,False,False,Phường Gia Định,107.78
11200000000.0,"Nhà ngõ, hẻm",59.4,Đã có sổ,4.0,4.0,3.0,Không rõ,Hẻm xe hơi,4.2,False,False,False,True,False,False,True,True,True,False,True,False,False,False,Phường Bình Thạnh,176.92
4580000000.0,Nhà phố liền kề,26.0,Đã có sổ,2.0,2.0,2.0,Nội thất đầy đủ,Thông thường,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Thạnh Mỹ Tây,150.91
25800000000.0,"Nhà mặt phố, mặt tiền",80.0,Đã có sổ,9.0,5.0,5.0,Nội thất đầy đủ,Thông thường,4.0,True,False,False,True,False,False,True,True,False,False,False,True,False,False,Phường Thạnh Mỹ Tây,150.91
11300000000.0,"Nhà ngõ, hẻm",68.0,Đã có sổ,4.0,3.0,4.0,Không rõ,Hẻm xe hơi,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Bình Thạnh,161.03
